row_id,id,row_title,block,+/-,accounts_included,variable_name,text_field,variable_text,ib_ub,calculated,formula,Saldo,always_show,toggle_show,editable,style,item_name,Abstrakt,Datatyp,period_type,block_sub
14,715,Rörelseförvärv,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringAnskaffningsvardenRorelseforvarv,false,xbrli:monetaryItemType,duration,
15,716,Fusion,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringAnskaffningsvardenFusion,false,xbrli:monetaryItemType,duration,
16,717,Försäljningar/utrangeringar,BYGG,,,arets_fsg_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringAnskaffningsvardenForsaljningarUtrangeringar,false,xbrli:monetaryItemType,duration,
17,718,Omklassificeringar,BYGG,,,arets_omklass_bygg,,,,,,,false,true,true,,ByggnaderMarkForandringAnskaffningsvardenOmklassificeringar,false,xbrli:monetaryItemType,duration,
18,719,Omräkningsdifferenser,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringAnskaffningsvardenOmrakningsdifferenser,false,xbrli:monetaryItemType,duration,
19,720,Utgående anskaffningsvärden,BYGG,,1110-1117;1130-1139;1140-1149;1150-1157;1180-1189,bygg_ub,,,UB,,,debit,true,,,S2,ByggnaderMarkAnskaffningsvarden,false,xbrli:monetaryItemType,instant,
20,,Avskrivningar,BYGG,,,,,,,,,,true,,,H3,,,,,AVSKR
21,721,Ingående avskrivningar,BYGG,,1119;1159,ack_avskr_bygg_ib,,,IB,,,credit,true,,,,ByggnaderMarkAvskrivningar,false,xbrli:monetaryItemType,instant,AVSKR
22,722,Förändringar av avskrivningar,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringAvskrivningarAbstract,true,xbrli:stringItemType,duration,AVSKR
23,723,Fusion,BYGG,,,,,,,,,,false,,,,ByggnaderMarkForandringAvskrivningarFusion,false,xbrli:monetaryItemType,duration,AVSKR
